date,material_id,units_used,current_stock
2024-01-01,MAT_01,436,9355
2024-01-02,MAT_01,424,8931
2024-01-03,MAT_01,474,8457
2024-01-04,MAT_01,441,8016
2024-01-05,MAT_01,381,7635
2024-01-06,MAT_01,385,7250
2024-01-07,MAT_01,421,6829
2024-01-08,MAT_01,412,6417
2024-01-09,MAT_01,513,5904
2024-01-10,MAT_01,513,5391
2024-01-11,MAT_01,452,4939
2024-01-12,MAT_01,399,4540
2024-01-13,MAT_01,316,4224
2024-01-14,MAT_01,315,3909
2024-01-15,MAT_01,430,3479
2024-01-16,MAT_01,438,3041
2024-01-17,MAT_01,484,2557
2024-01-18,MAT_01,433,2124
2024-01-19,MAT_01,333,1791
2024-01-20,MAT_01,388,1403
2024-01-21,MAT_01,370,7027
2024-01-22,MAT_01,438,6589
2024-01-23,MAT_01,448,6141
2024-01-24,MAT_01,483,5658
2024-01-25,MAT_01,528,5130
2024-01-26,MAT_01,420,4710
2024-01-27,MAT_01,406,4304
2024-01-28,MAT_01,347,3957
2024-01-29,MAT_01,541,3416
2024-01-30,MAT_01,568,2848
2024-01-31,MAT_01,562,2286
2024-02-01,MAT_01,510,1776
2024-02-02,MAT_01,427,1349
2024-02-03,MAT_01,413,936
2024-02-04,MAT_01,450,6480
2024-02-05,MAT_01,431,6049
2024-02-06,MAT_01,487,5562
2024-02-07,MAT_01,451,5111
2024-02-08,MAT_01,456,4655
2024-02-09,MAT_01,502,4153
2024-02-10,MAT_01,391,3762
2024-02-11,MAT_01,405,3357
2024-02-12,MAT_01,478,2879
2024-02-13,MAT_01,449,2430
2024-02-14,MAT_01,564,1866
2024-02-15,MAT_01,546,1320
2024-02-16,MAT_01,460,6854
2024-02-17,MAT_01,479,6375
2024-02-18,MAT_01,373,6002
2024-02-19,MAT_01,548,5454
2024-02-20,MAT_01,493,4961
2024-02-21,MAT_01,484,4477
2024-02-22,MAT_01,494,3983
2024-02-23,MAT_01,527,3456
2024-02-24,MAT_01,420,3036
2024-02-25,MAT_01,397,2639
2024-02-26,MAT_01,430,2209
2024-02-27,MAT_01,525,1684
2024-02-28,MAT_01,462,1222
2024-02-29,MAT_01,459,6757
2024-03-01,MAT_01,521,6236
2024-03-02,MAT_01,481,5755
2024-03-03,MAT_01,435,5320
2024-03-04,MAT_01,469,4851
2024-03-05,MAT_01,538,4313
2024-03-06,MAT_01,642,3671
2024-03-07,MAT_01,532,3139
2024-03-08,MAT_01,501,2638
2024-03-09,MAT_01,425,2213
2024-03-10,MAT_01,448,1765
2024-03-11,MAT_01,519,1246
2024-03-12,MAT_01,545,701
2024-03-13,MAT_01,477,6218
2024-03-14,MAT_01,572,5646
2024-03-15,MAT_01,445,5201
2024-03-16,MAT_01,522,4679
